,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,COMPL_RPY_7YR_RT,C100_4,C100_L4,DEBT_MDN_SUPP,GRAD_DEBT_MDN,DEBT_N,GRAD_DEBT_N,LATITUDE,LONGITUDE,REGION,LOCALE,SCH_DEG,MAIN,NUMBRANCH,HIGHDEG,CONTROL,ST_FIPS,AVGFACSAL,PFTFAC,ICLEVEL,UG,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,MEDIAN_HH_INC,UNEMP_RATE,UGDS_MEN,UGDS_WOMEN,cost,earning
5046,0.3185185185,0.3734939759,0.3950617284,0.4429065744,,0.5323,7338,8743,471,302,39.284512,-80.271826,5,32.0,2.0,0,2,2,3,54,3836.0,,2,,,,,,,,,40583.97,4.1100001335144,0.1742,0.8258,20147.0,15500
5047,0.1376506869,0.1967579653,0.2668952008,0.3461875548,,0.3945,15168,22900,6149,2961,41.317145000000004,-81.65064,3,21.0,1.0,0,12,2,3,39,3891.0,0.2692,2,,,,,,,,,51587.42,4.34000015258789,0.8967,0.1033,25889.0,21000
5048,0.1424460432,0.2089761571,0.2809917355,0.2430167598,,,9500,9668,1093,614,38.544635,-90.470904,4,21.0,1.0,0,2,2,3,29,4258.0,0.4872,1,,,,,,,,,44081.68,6.30999994277954,0.0929,0.9071,,19500
5049,0.5308056872,0.5497630332,0.564,0.4807692308,,0.4706,6925,8591,779,288,34.276596999999995,-83.855524,5,13.0,1.0,0,4,2,3,13,2684.0,,2,,,,,,,,,70108.71,3.44000005722045,0.2143,0.7857,17019.0,19900
5050,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,0.0909,5615,PrivacySuppressed,66,12,60.490458999999994,-151.136005,8,41.0,2.0,1,1,2,2,2,6286.0,,2,,,,,,,,,,,0.3924,0.6076,20094.0,PrivacySuppressed
5051,0.6601941748,0.6756756757,PrivacySuppressed,,0.2172,,9500,24806,7433,956,38.922579999999996,-94.771491,4,21.0,3.0,1,1,4,3,20,4559.0,1.0,1,,,,,,,,,,,0.5114,0.4886,16572.0,
5052,0.343937575,0.3799464445,0.3937368723,0.403051494,,0.2925,9196,9500,4425,3108,35.110048,-106.63336100000001,6,11.0,1.0,0,6,2,3,35,6166.0,0.4167,2,,,,,,,,,,,0.1613,0.8387,25381.0,25200
5053,0.532804989,0.5674731531,0.5632995148,0.6450176771,,0.1874,12813,17365,8346,6052,35.605305,-80.85512800000001,5,21.0,1.0,0,6,1,3,37,,,2,,,,,,,,,64889.67,3.77999997138977,0.951,0.049,24023.0,35000
5054,0.2887266829,0.3344077357,0.4183206107,0.4934333959,,0.6328,6000,7460,932,760,45.443736,-122.775357,8,21.0,1.0,0,3,1,2,41,,,3,,,,,,,,,66085.23,3.86999988555908,0.1903,0.8097,24633.0,19900
5055,0.28125,0.4210526316,0.424,0.5068493151,0.0,,16058,29905.5,112,40,38.917192,-77.237563,5,21.0,3.0,0,2,4,3,51,6771.0,,1,,,,,,,,,78717.65,4.34999990463256,0.8333,0.1667,,30200
